benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240929T012449/CWE-22/559_GHSA-4wch-fwmx-cf47/augustine-0.2.2/index.js,CWE-22,Exited 0,29.001361,0.000104,29.0258,false,
/bench/results/res-20240929T012449/CWE-22/889_GHSA-cgjv-rghq-qhgp/algo-httpserv-1.1.1/httpserv.js,CWE-22,Timeout,0.,0.,600.004,false,
/bench/results/res-20240929T012449/CWE-22/425_GHSA-5c6f-jpx7-cwq6/enserver-1.0.0/index.js,CWE-22,Exited 0,34.440035,9.5e-05,34.4764,false,
/bench/results/res-20240929T012449/CWE-22/652_GHSA-wm77-q74p-5763/superstatic-5.0.1/lib/providers/fs.js,CWE-22,Exited 0,40.432291,1.063389,41.5436,false,
/bench/results/res-20240929T012449/CWE-22/965_GHSA-48gc-5j93-5cfq/serve-10.1.1/bin/serve.js,CWE-22,Exited 0,26.373853,9.5e-05,26.4089,false,
/bench/results/res-20240929T012449/CWE-22/367_GHSA-vhx6-cp8w-295m/serverliujiayi1-1.1.0/index.js,CWE-22,Exited 0,33.362082,9.7e-05,33.3976,false,
/bench/results/res-20240929T012449/CWE-22/458_GHSA-g5m5-v5cp-5p7m/wintiwebdev-1.0.0/src/app.js,CWE-22,Exited 2,0.,0.,0.0321991,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-2hw7-mxvj-m455/node-red-dashboard-2.26.1/nodes/ui_base.js,CWE-22,Exited 0,32.317058,0.000145,32.3509,false,
/bench/results/res-20240929T012449/CWE-22/557_GHSA-m4vv-p6fq-jhqp/here-3.2.1/middleware/file_explorer.js,CWE-22,Exited 2,0.,0.,0.0286391,false,
/bench/results/res-20240929T012449/CWE-22/1173_GHSA-4x7w-frcq-v4m3/swagger-injector-3.0.1/frameworks/base.js,CWE-22,Exited 0,34.260877,0.000109,34.3048,false,
/bench/results/res-20240929T012449/CWE-22/432_GHSA-gf7h-vg5v-cch6/ritp-1.0.5/index.js,CWE-22,Exited 0,34.769256,8.2e-05,34.7991,false,
/bench/results/res-20240929T012449/CWE-22/435_GHSA-jwjq-vp53-ph6m/pytservce-1.0.0/src/index.js,CWE-22,Exited 2,0.,0.,0.0251591,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-hfwx-c7q6-g54c/highcharts-export-server-2.0.30/lib/server.js,CWE-22,Exited 0,48.692044,33.656113,82.3927,true,
/bench/results/res-20240929T012449/CWE-22/420_GHSA-74f5-4m28-gq5c/peiserver-1.0.0/index.js,CWE-22,Exited 0,33.213365,0.000124,33.2499,false,
/bench/results/res-20240929T012449/CWE-22/740_GHSA-23xp-j737-282v/takeapeek-0.2.2/dist/index.js,CWE-22,Exited 0,28.723225,0.000137,28.7591,false,
/bench/results/res-20240929T012449/CWE-22/426_GHSA-ccw5-7vfh-p5hm/dmmcquay.lab6-0.1.1/simple.js,CWE-22,Exited 0,33.418189,8.7e-05,33.4542,false,
/bench/results/res-20240929T012449/CWE-22/967_GHSA-45j8-pm75-5v8x/static-resource-server-1.7.2/src/helper/route,CWE-22,Exited 2,0.,0.,0.0321171,false,
/bench/results/res-20240929T012449/CWE-22/376_GHSA-9j5m-873f-xh76/static-html-server-0.1.2/static-html-server.js,CWE-22,Exited 0,34.369484,0.000118,34.4051,false,
/bench/results/res-20240929T012449/CWE-22/799_GHSA-2hhw-p8mg-jrm6/http-live-simulator-1.0.5/bin/http-live,CWE-22,Exited 0,28.495957,8.2e-05,28.5314,false,
/bench/results/res-20240929T012449/CWE-22/453_GHSA-jp46-fw6c-3pm9/scott-blanch-weather-app-0.1.2/server.js,CWE-22,Exited 0,34.935936,0.000116,34.9752,false,
/bench/results/res-20240929T012449/CWE-22/556_GHSA-7x92-2j68-h32c/featurebook-0.0.32/bin/featurebook.js,CWE-22,Exited 0,28.429821,0.000136,28.4663,false,
/bench/results/res-20240929T012449/CWE-22/430_GHSA-6x8c-mvpv-5366/shit-server-1.0.0/index.js,CWE-22,Exited 0,36.226021,9.7e-05,36.2617,false,
/bench/results/res-20240929T012449/CWE-22/354_GHSA-q4cq-539c-3mmm/serveryztyzt-1.4.0/node.js,CWE-22,Exited 0,33.07735,9.6e-05,33.1119,false,
/bench/results/res-20240929T012449/CWE-22/452_GHSA-hqw4-8893-j4h7/simple-npm-registry-0.0.4/index.js,CWE-22,Exited 0,43.440426,0.000132,43.4756,false,
/bench/results/res-20240929T012449/CWE-22/451_GHSA-g376-whg7-896m/yjmyjmyjm-1.0.0/index.js,CWE-22,Exited 0,28.26974,0.000105,28.3013,false,
/bench/results/res-20240929T012449/CWE-22/463_GHSA-ggq8-j54v-54x8/sspa-0.1.0/sspa.js,CWE-22,Timeout,0.,0.,600.004,false,
/bench/results/res-20240929T012449/CWE-22/560_GHSA-68gr-cmcp-g3mj/lactate-0.13.12/lib/lactate.js,CWE-22,Exited 0,2.671035,0.,2.70604,false,
/bench/results/res-20240929T012449/CWE-22/GHSA-m33v-338h-4v9f/runtime-1.2.7/lib/storage/localfilesystem/projects/Project.js,CWE-22,Exited 0,2.982386,0.,3.01471,false,
/bench/results/res-20240929T012449/CWE-22/371_GHSA-g8wf-rcg3-qw4q/tinyserver2-0.5.2/tinyserver.js,CWE-22,Exited 0,34.369823,0.000147,34.4135,false,
/bench/results/res-20240929T012449/CWE-22/454_GHSA-qh38-wrgf-cj2c/iter-server-1.0.0/http.js,CWE-22,Exited 0,37.473681,0.000126,37.5252,false,
/bench/results/res-20240929T012449/CWE-22/447_GHSA-jpjp-vxv6-59hm/open-device-4.0.1/lib/server-accessible.js,CWE-22,Exited 0,35.974224,1.029265,37.0463,true,
/bench/results/res-20240929T012449/CWE-22/GHSA-pmw4-jgxx-pcq9/ftp-srv-2.19.6/src/fs.js,CWE-22,Exited 0,40.389022,1.127573,41.5598,true,
/bench/results/res-20240929T012449/CWE-22/1008_GHSA-qjfh-xc44-rm9x/file-static-server-1.0.2/lib/file.js,CWE-22,Exited 0,34.736565,8.7e-05,34.7676,false,
/bench/results/res-20240929T012449/CWE-22/303_GHSA-xqqr-p362-6rmc/hostr-2.3.5/lib/routes/statics.js,CWE-22,Exited 0,33.833977,7.5e-05,33.8624,false,
/bench/results/res-20240929T012449/CWE-22/448_GHSA-25jw-gcfj-283j/360class.jansenhm-0.1.1/fileServer.js,CWE-22,Exited 0,32.733231,8.5e-05,32.768,false,
/bench/results/res-20240929T012449/CWE-22/448_GHSA-25jw-gcfj-283j/360class.jansenhm-0.1.1/weatherServer.js,CWE-22,Exited 0,33.382815,0.000125,33.4192,false,
/bench/results/res-20240929T012449/CWE-22/391_GHSA-jpg7-6c9f-7q54/datachannel-client-1.0.2/server.js,CWE-22,Exited 0,34.42435,9.4e-05,34.4539,false,
/bench/results/res-20240929T012449/CWE-22/411_GHSA-6qh5-wx38-q92g/ltt.js-1.0.0/index.js,CWE-22,Exited 0,32.216998,7.2e-05,32.2514,false,
/bench/results/res-20240929T012449/CWE-22/554_GHSA-g8m7-qhv7-9h5x/serve-here-3.2.0/middleware/file-explorer.js,CWE-22,Exited 0,1.822967,0.,1.85932,false,
/bench/results/res-20240929T012449/CWE-22/468_GHSA-h372-w3xp-2jg3/section2.madisonjbrooks12-0.1.1/static.js,CWE-22,Exited 0,33.456824,0.000127,33.4931,false,
/bench/results/res-20240929T012449/CWE-22/561_GHSA-q2qh-cgc2-qhr3/serve-6.4.8/lib/server.js,CWE-22,Exited 0,29.247056,0.000103,29.2787,false,
