benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/20240906-secbench/json-pointer/json-pointer-0.6.0_NodeMedic,CWE-471,Exited 0,0.,0.,7.906482556,false,false,
results/nodemedic/20240906-secbench/json-pointer/json-pointer-0.6.1_NodeMedic,CWE-471,Exited 0,0.,0.,8.064323957,false,false,
results/nodemedic/20240906-secbench/yjmyjmyjm/yjmyjmyjm-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.787103092,false,false,
results/nodemedic/20240906-secbench/json-ptr/json-ptr-1.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,25.914047828,false,false,
results/nodemedic/20240906-secbench/getobject/getobject-0.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.273657177,false,false,
results/nodemedic/20240906-secbench/rfc6902/rfc6902-4.0.2_NodeMedic,CWE-471,Exited 0,0.,0.,7.950831139,false,false,
results/nodemedic/20240906-secbench/x-assign/x-assign-0.1.4_NodeMedic,CWE-471,Exited 0,0.,0.,9.035579844,false,false,
results/nodemedic/20240906-secbench/m-log/m-log-0.0.1_NodeMedic,CWE-94,Exited 0,12.374,5.618,41.392925598,true,false,
results/nodemedic/20240906-secbench/serverxxx/serverxxx-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.212651228,false,false,
results/nodemedic/20240906-secbench/cd-messenger/cd-messenger-2.7.24_NodeMedic,CWE-94,Exited 0,0.,0.,9.545811172,false,false,
results/nodemedic/20240906-secbench/merge-objects/merge-objects-1.0.3_NodeMedic,CWE-471,Exited 0,0.,0.,8.615827494,false,false,
results/nodemedic/20240906-secbench/js-extend/js-extend-0.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,8.786710875,false,false,
results/nodemedic/20240906-secbench/intsol-package/intsol-package-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.71140825,false,false,
results/nodemedic/20240906-secbench/portkiller/portkiller-1.0.2_NodeMedic,CWE-78,Exited 0,0.,0.,10.177879547,false,false,
results/nodemedic/20240906-secbench/server12311/server12311-1.2.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.737152691,false,false,
results/nodemedic/20240906-secbench/clamscan/clamscan-1.2.0_NodeMedic,CWE-78,Exited 0,126.827,0.,155.025712136,false,false,
results/nodemedic/20240906-secbench/objutil/objutil-2.17.3_NodeMedic,CWE-471,Exited 0,0.,0.,10.289945144,false,false,
results/nodemedic/20240906-secbench/gfm-srv/gfm-srv-1.1.2_NodeMedic,CWE-22,Exited 0,0.,0.,9.58137327,false,false,
results/nodemedic/20240906-secbench/shenliru/shenliru-1.2.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.551004045,false,false,
results/nodemedic/20240906-secbench/goserv/goserv-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.688582275,false,false,
results/nodemedic/20240906-secbench/glance/glance-3.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.512038473,false,false,
results/nodemedic/20240906-secbench/modjs/modjs-0.4.0_NodeMedic,CWE-94,Exited 0,0.,0.,10.378361568,false,false,
results/nodemedic/20240906-secbench/serverfff/serverfff-1.1.1_NodeMedic,CWE-22,Exited 0,0.,0.,8.907165188,false,false,
results/nodemedic/20240906-secbench/libnested/libnested-1.5.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.892622913,false,false,
results/nodemedic/20240906-secbench/node-staticserver/node-staticserver-1.0.3_NodeMedic,CWE-22,Exited 0,0.,0.,8.705310436,false,false,
results/nodemedic/20240906-secbench/lodash/lodash-4.17.15_NodeMedic,CWE-471,Exited 0,0.,0.,8.394985758,false,false,
results/nodemedic/20240906-secbench/lodash/lodash-4.17.10_NodeMedic,CWE-471,Exited 0,0.,0.,8.518978309,false,false,
results/nodemedic/20240906-secbench/lodash/lodash-4.17.9_NodeMedic,CWE-471,Exited 0,0.,0.,8.782354195,false,false,
results/nodemedic/20240906-secbench/vboxmanage.js/vboxmanage.js-1.0.6_NodeMedic,CWE-94,Exited 0,0.,0.,9.986426119,false,false,
results/nodemedic/20240906-secbench/lessindex/lessindex-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.304594239,false,false,
results/nodemedic/20240906-secbench/objection/objection-2.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.849408542,false,false,
results/nodemedic/20240906-secbench/mol-proto/mol-proto-0.1.3_NodeMedic,CWE-94,Exited 0,0.,0.,9.418326119,false,false,
results/nodemedic/20240906-secbench/kill-by-port/kill-by-port-0.0.1_NodeMedic,CWE-78,Exited 0,0.,0.,9.01846563,false,false,
results/nodemedic/20240906-secbench/dot-object/dot-object-2.1.2_NodeMedic,CWE-471,Exited 0,0.,0.,8.270555817,false,false,
results/nodemedic/20240906-secbench/susu-sum/susu-sum-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.852029489,false,false,
results/nodemedic/20240906-secbench/xps/xps-1.0.2_NodeMedic,CWE-78,Exited 0,0.,0.,8.663237844,false,false,
results/nodemedic/20240906-secbench/fsk-server/fsk-server-0.2.1_NodeMedic,CWE-22,Exited 0,0.,0.,9.610299828,false,false,
results/nodemedic/20240906-secbench/merge-change/merge-change-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.256601407,false,false,
results/nodemedic/20240906-secbench/value-censorship/value-censorship-1.1.0_NodeMedic,CWE-94,Exited 0,0.,0.,11.080109206,false,false,
results/nodemedic/20240906-secbench/dot-prop/dot-prop-2.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,8.462167221,false,false,
results/nodemedic/20240906-secbench/node-latex-pdf/node-latex-pdf-0.0.2_NodeMedic,CWE-78,Exited 0,0.,0.,8.338061579,false,false,
results/nodemedic/20240906-secbench/serverliujiayi1/serverliujiayi1-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.046549152,false,false,
results/nodemedic/20240906-secbench/gedi/gedi-1.6.3_NodeMedic,CWE-471,Exited 0,0.,0.,9.636290032,false,false,
results/nodemedic/20240906-secbench/deep-get-set/deep-get-set-1.1.0_NodeMedic,CWE-471,Exited 0,0.,0.,7.454156673,false,false,
results/nodemedic/20240906-secbench/gaoxuyan/gaoxuyan-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.138364463,false,false,
